zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
80840,0.0,665.0,0.0,0.0,0.0,98.0,763.0,0.8715596330275229
80841,0.0,4006.0,0.0,0.0,0.0,0.0,4006.0,1.0
80860,0.0,1381.0,0.0,0.0,0.0,0.0,1381.0,1.0
80861,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0
80863,0.0,17908.0,0.0,0.0,0.0,10855.0,28763.0,0.6226054305879081
80864,0.0,0.0,0.0,0.0,0.0,750.0,750.0,0.0
80866,0.0,215.0,0.0,0.0,0.0,515.0,730.0,0.2945205479452055
80901,0.0,837.0,0.0,0.0,0.0,0.0,837.0,1.0
80902,0.0,176.0,0.0,0.0,0.0,500.0,676.0,0.2603550295857988
80903,0.0,39109.0,0.0,0.0,0.0,16730.0,55839.0,0.7003886172746646
80904,0.0,64779.0,0.0,0.0,0.0,17633.0,82412.0,0.7860384410037373
80905,0.0,27904.0,0.0,0.0,0.0,4238.0,32142.0,0.868147595046979
80906,0.0,78695.0,0.0,0.0,35.0,51373.0,130103.0,0.6048669131380522
80907,0.0,42515.0,0.0,0.0,0.0,6569.0,49084.0,0.8661682014505745
80908,0.0,23700.0,0.0,0.0,0.0,41841.0,65541.0,0.3616057124547993
